Retailer,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,Northeast,New York,New York,Womens Street Footwear, ,900,450000,157500,0.35,Outlet
Foot Locker,Northeast,New York,New York,Womens Athletic Footwear,50,850,425000,148750,0.35,Outlet
Foot Locker,Northeast,New York,New York,Mens Apparel,60,875, ,157500,0.3,Outlet
Foot Locker,Northeast,New York,New York,Womens Apparel,65,1000,650000,162500,0.25,Outlet
Foot Locker,Northeast,New York,New York,Mens Street Footwear,60,1250, ,375000,0.5,Outlet
Foot Locker,Northeast,New York,New York,Mens Athletic Footwear,55,1000,550000,165000,0.3,Outlet
Foot Locker,Northeast,New York,New York,Womens Street Footwear, ,925,462500,161875,0.35,Outlet
Foot Locker,Northeast,New York,New York,Womens Athletic Footwear,50,900,450000,157500,0.35,Outlet
Foot Locker,Northeast,New York,New York,Mens Apparel,60,900,540000,162000,0.3,Outlet
Foot Locker,Northeast,New York,New York,Womens Apparel,65, ,682500, ,0.25,Outlet
Foot Locker,Northeast,New York,New York,Mens Street Footwear,60,1275, ,382500,0.5,Outlet
Foot Locker,Northeast,New York,New York,Mens Athletic Footwear,55,1025,563750,169125,0.3,Outlet
Foot Locker,Northeast,New York,New York,Womens Street Footwear,50,950,475000,166250,0.35,Outlet
Foot Locker,Northeast,New York,New York,Womens Athletic Footwear, ,900,450000,157500,0.35,Outlet
Foot Locker,Northeast,New York,New York,Mens Apparel,60,925,555000,166500,0.3,Outlet
Foot Locker,Northeast,New York,New York,Womens Apparel,65,1100,715000,178750,0.25,Outlet
Foot Locker,Northeast,New York,New York,Mens Street Footwear, ,1250,750000,375000,0.5,Outlet
Foot Locker,Northeast,New York,New York,Mens Athletic Footwear,55,1025,563750,169125,0.3,Outlet
Foot Locker,Northeast,New York,New York,Womens Street Footwear,50,950,475000,166250,0.35,Outlet
Foot Locker,Northeast,New York,New York,Womens Athletic Footwear, ,925,462500,161875,0.35,Outlet
Walmart,Northeast,New York,New York,Mens Apparel,60,900,540000,162000,0.3,Outlet
Walmart,Northeast,New York,New York,Womens Apparel,65,1075,698750,174688,0.25,Outlet
Walmart,Northeast,New York,New York,Mens Street Footwear, ,1200,720000,360000,0.5,Outlet
Walmart,Northeast,New York,New York,Mens Athletic Footwear,55,1000,550000,165000,0.3,Outlet
Walmart,Northeast,New York,New York,Womens Street Footwear,50,925,462500,161875,0.35,Outlet
Walmart,Northeast,New York,New York,Womens Athletic Footwear,50,900,450000,157500,0.35,Outlet
Walmart,Northeast,New York,New York,Mens Apparel,60,900,540000,162000,0.3,Outlet
Walmart,Northeast,New York,New York,Womens Apparel,65,1000,650000,162500,0.25,Outlet
Walmart,Northeast,New York,New York,Mens Apparel,65,875,568750,170625,0.3,Outlet
Walmart,Northeast,New York,New York,Womens Apparel,70,1000,700000,175000,0.25,Outlet
Walmart,Northeast,New York,New York,Mens Street Footwear,65,1150,747500,373750,0.5,Outlet
Walmart,Northeast,New York,New York,Mens Athletic Footwear,55,975,536250,160875,0.3,Outlet
Walmart,Northeast,New York,New York,Womens Street Footwear,55,920,506000,177100,0.35,Outlet
Walmart,Northeast,New York,New York,Womens Athletic Footwear,55,900,495000,173250,0.35,Outlet
Walmart,Northeast,New York,New York,Mens Apparel,65,875,568750,170625,0.3,Outlet
Walmart,Northeast,New York,New York,Womens Apparel,70,975,682500,170625,0.25,Outlet
Walmart,Northeast,New York,New York,Mens Street Footwear,65,1200,780000,390000,0.5,Outlet
Walmart,Northeast,New York,New York,Mens Athletic Footwear,55,1000,550000,165000,0.3,Outlet
Walmart,Northeast,New York,New York,Womens Street Footwear,55,950,522500,182875,0.35,Outlet
Walmart,Northeast,New York,New York,Womens Athletic Footwear,55,900,495000,173250,0.35,Outlet
Walmart,Northeast,New York,New York,Mens Apparel,65,900,585000,175500,0.3,Outlet
Walmart,Northeast,New York,New York,Womens Apparel,70,1000,700000,175000,0.25,Outlet
Sports Direct,Northeast,New York,New York,Mens Street Footwear,25,900,225000,78750,0.35,Outlet
Sports Direct,Northeast,New York,New York,Mens Athletic Footwear,35,900,315000,110250,0.35,Outlet
Sports Direct,Northeast,New York,New York,Womens Street Footwear,35,700,245000,85750,0.35,Outlet
Sports Direct,Northeast,New York,New York,Womens Athletic Footwear,35,700,245000,110250,0.45,Outlet
Sports Direct,South,Texas,Houston,Mens Apparel,40,550,220000,66000,0.3,Outlet
Sports Direct,South,Texas,Houston,Womens Apparel,35,700,245000,122500,0.5,Outlet
Sports Direct,South,Texas,Houston,Mens Street Footwear,25,850,212500,74375,0.35,Outlet
Sports Direct,South,Texas,Houston,Mens Athletic Footwear,35,850,297500,104125,0.35,Outlet
Sports Direct,South,Texas,Houston,Womens Street Footwear,35,675,236250,82688,0.35,Outlet
Sports Direct,South,Texas,Houston,Womens Athletic Footwear,35,625,218750,98438,0.45,Outlet
Sports Direct,South,Texas,Houston,Mens Apparel,40,500,200000,60000,0.3,Outlet
Sports Direct,South,Texas,Houston,Womens Apparel,35,700,245000,122500,0.5,Outlet
Sports Direct,South,Texas,Houston,Mens Street Footwear,30,875,262500,91875,0.35,Outlet
Sports Direct,South,Texas,Houston,Mens Athletic Footwear,40,875,350000,122500,0.35,Outlet
Sports Direct,South,Texas,Houston,Womens Street Footwear,35,700,245000,85750,0.35,Outlet
Sports Direct,South,Texas,Houston,Womens Athletic Footwear,40,600,240000,108000,0.45,Outlet
Sports Direct,South,Texas,Houston,Mens Apparel,45,500,225000,67500,0.3,Outlet
Sports Direct,South,Texas,Houston,Womens Apparel,40,650,260000,130000,0.5,Outlet
Sports Direct,South,Texas,Houston,Mens Street Footwear,30,900,270000,94500,0.35,Outlet
Sports Direct,South,Texas,Houston,Mens Athletic Footwear,40,900,360000,126000,0.35,Outlet
Sports Direct,South,Texas,Houston,Womens Street Footwear,35,725,253750,88813,0.35,Outlet
Sports Direct,South,Texas,Houston,Womens Athletic Footwear,40,625,250000,112500,0.45,Outlet
Walmart,South,Texas,Houston,Mens Apparel,45,525,236250,70875,0.3,Outlet
Walmart,South,Texas,Houston,Womens Apparel,40,800, ,160000,0.5,Outlet
Walmart,South,Texas,Houston,Mens Street Footwear,30,925,277500,97125,0.35,Outlet
Walmart,South,Texas,Houston,Mens Athletic Footwear,40,925,370000,129500,0.35,Outlet
Walmart,South,Texas,Houston,Womens Street Footwear,35, ,271250,94938,0.35,Outlet
Walmart,South,Texas,Houston,Womens Athletic Footwear,40,700,280000,126000,0.45,Outlet
Walmart,South,Texas,Houston,Mens Apparel,45,600,270000,81000,0.3,Outlet
Walmart,South,Texas,Houston,Womens Apparel,40,950, ,190000,0.5,Outlet
Walmart,South,Texas,Houston,Mens Street Footwear,40,950,380000,133000,0.35,Outlet
Walmart,South,Texas,Houston,Mens Athletic Footwear,45,950,427500,149625,0.35,Outlet
Walmart,South,Texas,Houston,Womens Street Footwear,40,800,320000,112000,0.35, 
Walmart,South,Texas,Houston,Womens Athletic Footwear,40,750,300000,135000,0.45,Outlet
Walmart,South,Texas,Houston,Mens Apparel,45,650,292500,87750,0.3,Outlet
Walmart,South,Texas,Houston,Womens Apparel, ,1000,500000,250000,0.5,Outlet
Walmart,South,Texas,Houston,Mens Street Footwear,40,950,380000,133000,0.35,Outlet
Walmart,South,Texas,Houston,Mens Athletic Footwear,45, ,427500,149625,0.35,Outlet
Walmart,South,Texas,Houston,Womens Street Footwear,40,1100,440000,154000,0.35,Outlet
Walmart,South,Texas,Houston,Womens Athletic Footwear,40,700,280000,126000,0.45,Outlet
Walmart,South,Texas,Houston,Mens Apparel,45,700,315000,94500,0.3,Outlet
Walmart,South,Texas,Houston,Womens Apparel, ,975,487500,243750,0.5,Outlet
Walmart,South,Texas,Houston,Mens Street Footwear,40,925,370000,129500,0.35,Outlet
Walmart,South,Texas,Houston,Mens Athletic Footwear,45,925,416250,145688,0.35,Outlet
Walmart,South,Texas,Houston,Womens Street Footwear,40,1100,440000,154000,0.35, 
Walmart,South,Texas,Houston,Womens Athletic Footwear,40,650,260000,117000,0.45,Outlet
Walmart,South,Texas,Houston,Mens Apparel,45,650,292500,87750,0.3,Outlet
Walmart,South,Texas,Houston,Womens Apparel,50,900,450000,225000,0.5,Outlet
Walmart,South,Texas,Houston,Mens Street Footwear,45,850,382500,133875,0.35,Outlet
Walmart,South,Texas,Houston,Mens Athletic Footwear,45,850,382500,133875,0.35,Outlet
Walmart,South,Texas,Houston,Womens Street Footwear,50,900, ,157500,0.35,Outlet
Walmart,South,Texas,Houston,Womens Athletic Footwear,50, ,312500,140625,0.45,Outlet
Walmart,South,Texas,Houston,Mens Apparel,45,625,281250,84375,0.3,Outlet
Walmart,South,Texas,Houston,Womens Apparel,55, ,467500,233750,0.5,Outlet
Walmart,South,Texas,Houston,Mens Street Footwear,45,800,360000,126000,0.35,Outlet
Walmart,South,Texas,Houston,Mens Athletic Footwear,45,800, ,126000,0.35,Outlet
Walmart,South,Texas,Houston,Womens Street Footwear,50,750,375000,131250,0.35,Outlet
Walmart,South,Texas,Houston,Womens Athletic Footwear,50,600,300000, ,0.45,Outlet
Walmart,South,Texas,Houston,Mens Apparel,45,575,258750,77625,0.3,Outlet
Walmart,South,Texas,Houston,Womens Apparel,55,750,412500,206250,0.5,Outlet
Walmart,South,Texas,Houston,Mens Street Footwear,45,900,405000,141750,0.35,Outlet
Walmart,South,Texas,Houston,Mens Athletic Footwear,45,900,405000,141750,0.35,Outlet
Walmart,South,Texas,Houston,Womens Street Footwear,50,825,412500,144375,0.35,Outlet
Walmart,South,Texas,Houston,Womens Athletic Footwear,50,675,337500,151875,0.45,Outlet
Walmart,South,Texas,Houston,Mens Apparel,45,650,292500,87750,0.3,Outlet
Walmart,South,Texas,Houston,Womens Apparel,55,850,467500,233750,0.5,Outlet
Walmart,South,Texas,Houston,Mens Street Footwear,45,950,427500,149625,0.35,Outlet
Walmart,South,Texas,Houston,Mens Athletic Footwear,45,950,427500,149625,0.35,Outlet
Walmart,South,Texas,Houston,Womens Street Footwear,50,850,425000,148750,0.35,Outlet
Walmart,South,Texas,Houston,Womens Athletic Footwear,50,700,350000,157500,0.45,Outlet
Walmart,South,Texas,Houston,Mens Apparel,45,650,292500,87750,0.3,Outlet
Walmart,South,Texas,Houston,Womens Apparel,55,900,495000,247500,0.5,Outlet
West Gear,South,Texas,Houston,Mens Street Footwear,40,775,310000,108500,0.35,Outlet
West Gear,South,Texas,Houston,Mens Athletic Footwear,50,775,387500,77500,0.2,Outlet
West Gear,South,Texas,Houston,Womens Street Footwear,50,775,387500,135625,0.35,Outlet
West Gear,South,Texas,Houston,Womens Athletic Footwear,50,625,312500,93750,0.3,Outlet
West Gear,West,California,San Francisco,Mens Apparel,55,575,316250,158125,0.5,Outlet
West Gear,West,California,San Francisco,Womens Apparel,50,775,387500,58125,0.15,Outlet
West Gear,West,California,San Francisco,Mens Street Footwear,40,825,330000,115500,0.35,Outlet
West Gear,West,California,San Francisco,Mens Athletic Footwear,50,725,362500,72500,0.2,Outlet
West Gear,West,California,San Francisco,Womens Street Footwear,50,725,362500,126875,0.35,Outlet
West Gear,West,California,San Francisco,Womens Athletic Footwear,50,575,287500,86250,0.3,Outlet
West Gear,West,California,San Francisco,Mens Apparel,55,500,275000,137500,0.5,Outlet
West Gear,West,California,San Francisco,Womens Apparel,50,700,350000,52500,0.15,Outlet
West Gear,West,California,San Francisco,Mens Street Footwear,50,850,425000,148750,0.35,Outlet
West Gear,West,California,San Francisco,Mens Athletic Footwear,60,700,420000,84000,0.2,Outlet
West Gear,West,California,San Francisco,Womens Street Footwear,60,700,420000,147000,0.35,Outlet
West Gear,West,California,San Francisco,Womens Athletic Footwear,60,600,360000,108000,0.3,Outlet
West Gear,West,California,San Francisco,Mens Apparel,65,500,325000,162500,0.5,Outlet
West Gear,West,California,San Francisco,Womens Apparel,60,700,420000,63000,0.15,Outlet
West Gear,West,California,San Francisco,Mens Street Footwear,60,875,525000,183750,0.35,Outlet
West Gear,West,California,San Francisco,Mens Athletic Footwear,65,675,438750,87750,0.2,Outlet
West Gear,West,California,San Francisco,Womens Street Footwear,65,725,471250,164938,0.35,Outlet
West Gear,West,California,San Francisco,Womens Athletic Footwear,60,625,375000,112500,0.3,Outlet
West Gear,West,California,San Francisco,Mens Apparel,65,525,341250,170625,0.5,Outlet
West Gear,West,California,San Francisco,Womens Apparel,80,700,560000,84000,0.15,Outlet
West Gear,West,California,San Francisco,Mens Street Footwear,60,900,540000,216000,0.4,Outlet
West Gear,West,California,San Francisco,Mens Athletic Footwear,65,750,487500,121875,0.25,Outlet
West Gear,West,California,San Francisco,Womens Street Footwear,65,750,487500,195000,0.4,Outlet
West Gear,West,California,San Francisco,Womens Athletic Footwear,60,650,390000,136500,0.35,Outlet
West Gear,West,California,San Francisco,Mens Apparel,65,550,357500,196625,0.55,Outlet
West Gear,West,California,San Francisco,Womens Apparel,80,725,580000,116000,0.2,Outlet
West Gear,West,California,San Francisco,Mens Street Footwear,60,975,585000,234000,0.4,Outlet
West Gear,West,California,San Francisco,Mens Athletic Footwear,65,825,536250,134063,0.25,Outlet
West Gear,West,California,San Francisco,Womens Street Footwear,65,825,536250,214500,0.4,Outlet
West Gear,West,California,San Francisco,Womens Athletic Footwear,60,700,420000,147000,0.35,Outlet
West Gear,West,California,San Francisco,Mens Apparel,65,575,373750,205563,0.55,Outlet
West Gear,West,California,San Francisco,Womens Apparel,80,875,700000,140000,0.2,Outlet
West Gear,West,California,San Francisco,Mens Street Footwear,60,1025,615000,215250,0.35,Outlet
West Gear,West,California,San Francisco,Mens Athletic Footwear,65,875,568750,113750,0.2,Outlet
West Gear,West,California,San Francisco,Womens Street Footwear,65,825,536250,187688,0.35,Outlet
West Gear,West,California,San Francisco,Womens Athletic Footwear,60,725,435000,130500,0.3,Outlet
West Gear,West,California,San Francisco,Mens Apparel,65,775,503750,251875,0.5,Outlet
West Gear,West,California,San Francisco,Womens Apparel,80,775,620000,93000,0.15,Outlet
West Gear,West,California,San Francisco,Mens Street Footwear,65,975,633750,221813,0.35,Outlet
West Gear,West,California,San Francisco,Mens Athletic Footwear,70,925,647500,129500,0.2,Outlet
West Gear,West,California,San Francisco,Womens Street Footwear,65,800,520000,182000,0.35,Outlet
West Gear,West,California,San Francisco,Womens Athletic Footwear,65,750,487500,146250,0.3,Outlet
West Gear,West,California,San Francisco,Mens Apparel,75,750,562500,281250,0.5,Outlet
West Gear,West,California,San Francisco,Womens Apparel,80,725,580000,87000,0.15,Outlet
West Gear,West,California,San Francisco,Mens Street Footwear,55,925,508750,152625,0.3,Outlet
West Gear,West,California,San Francisco,Mens Athletic Footwear,60,925,555000,83250,0.15,Outlet
West Gear,West,California,San Francisco,Womens Street Footwear,55,775,426250,127875,0.3,Outlet
West Gear,West,California,San Francisco,Womens Athletic Footwear,55,725,398750,99688,0.25,Outlet
West Gear,West,California,San Francisco,Mens Apparel,65,725,471250,212063,0.45,Outlet
West Gear,West,California,San Francisco,Womens Apparel,70,775,542500,54250,0.1,Outlet
West Gear,West,California,San Francisco,Mens Street Footwear,55,875,481250,144375,0.3,Outlet
West Gear,West,California,San Francisco,Mens Athletic Footwear,60,875,525000,78750,0.15,Outlet
West Gear,West,California,San Francisco,Womens Street Footwear,55,700,385000,115500,0.3,Outlet
West Gear,West,California,San Francisco,Womens Athletic Footwear,55,675,371250,92813,0.25,Outlet
West Gear,West,California,San Francisco,Mens Apparel,65,650,422500,190125,0.45,Outlet
West Gear,West,California,San Francisco,Womens Apparel,70,700,490000,49000,0.1,Outlet
West Gear,West,California,San Francisco,Mens Street Footwear,55,875,481250,144375,0.3,Outlet
West Gear,West,California,San Francisco,Mens Athletic Footwear,60,875,525000,78750,0.15,Outlet
West Gear,West,California,San Francisco,Womens Street Footwear,55,725,398750,119625,0.3,Outlet
West Gear,West,California,San Francisco,Womens Athletic Footwear,55,700,385000,96250,0.25,Outlet
West Gear,West,California,San Francisco,Mens Apparel,65,650,422500,190125,0.45,Outlet
West Gear,West,California,San Francisco,Womens Apparel,70,775,542500,54250,0.1,Outlet
West Gear,West,California,San Francisco,Mens Street Footwear,55,975,536250,160875,0.3,Outlet
West Gear,West,California,San Francisco,Mens Athletic Footwear,60,975,585000,87750,0.15,Outlet
West Gear,West,California,San Francisco,Womens Street Footwear,55,775,426250,127875,0.3,Outlet
West Gear,West,California,San Francisco,Womens Athletic Footwear,55,775,426250,106563,0.25,Outlet
West Gear,West,California,San Francisco,Mens Apparel,65,700,455000,204750,0.45,Outlet
West Gear,West,California,San Francisco,Womens Apparel,70,800,560000,56000,0.1,Outlet
Kohls,West,California,San Francisco,Mens Street Footwear,35,700,245000,98000,0.4,Outlet
Kohls,West,California,San Francisco,Mens Athletic Footwear,45,700,315000,78750,0.25,Outlet
Kohls,West,California,San Francisco,Womens Street Footwear,45,700,315000,126000,0.4,Outlet
Kohls,West,California,San Francisco,Womens Athletic Footwear,45,550,247500,86625,0.35,Outlet
Kohls,West,California,Los Angeles,Mens Apparel,50,500,250000,137500,0.55,Outlet
Kohls,West,California,Los Angeles,Womens Apparel,45,700,315000,63000,0.2,Outlet
Kohls,West,California,Los Angeles,Mens Street Footwear,35,750,262500,105000,0.4,Outlet
Kohls,West,California,Los Angeles,Mens Athletic Footwear,45,650,292500,73125,0.25,Outlet
Kohls,West,California,Los Angeles,Womens Street Footwear,45,675,303750,121500,0.4,Outlet
Kohls,West,California,Los Angeles,Womens Athletic Footwear,45,525,236250,82688,0.35,Outlet
Kohls,West,California,Los Angeles,Mens Apparel,50,450,225000,123750,0.55,Outlet
Kohls,West,California,Los Angeles,Womens Apparel,45,650,292500,58500,0.2,Outlet
Kohls,West,California,Los Angeles,Mens Street Footwear,35,800,280000,112000,0.4,Outlet
Kohls,West,California,Los Angeles,Mens Athletic Footwear,45,650,292500,73125,0.25,Outlet
Kohls,West,California,Los Angeles,Womens Street Footwear,45,650,292500,117000,0.4,Outlet
Kohls,West,California,Los Angeles,Womens Athletic Footwear,45,550,247500,86625,0.35,Outlet
Kohls,West,California,Los Angeles,Mens Apparel,50,425,212500,116875,0.55,Outlet
Kohls,West,California,Los Angeles,Womens Apparel,45,625,281250,56250,0.2,Outlet
Kohls,West,California,Los Angeles,Mens Street Footwear,45,800,360000,144000,0.4,Outlet
Kohls,West,California,Los Angeles,Mens Athletic Footwear,50,600,300000,75000,0.25,Outlet
Kohls,West,California,Los Angeles,Womens Street Footwear,50,625,312500,125000,0.4,Outlet
Kohls,West,California,Los Angeles,Womens Athletic Footwear,45,525,236250,82688,0.35,Outlet
Kohls,West,California,Los Angeles,Mens Apparel,50,425,212500,116875,0.55,Outlet
Kohls,West,California,Los Angeles,Womens Apparel,65,600,390000,78000,0.2,Outlet
Kohls,West,California,Los Angeles,Mens Street Footwear,45,800,360000,144000,0.4,Outlet
Kohls,West,California,Los Angeles,Mens Athletic Footwear,50,650,325000,81250,0.25,Outlet
Kohls,West,California,Los Angeles,Womens Street Footwear,50,650,325000,130000,0.4,Outlet
Kohls,West,California,Los Angeles,Womens Athletic Footwear,45,550,247500,86625,0.35,Outlet
Kohls,West,California,Los Angeles,Mens Apparel,50,450,225000,123750,0.55,Outlet
Kohls,West,California,Los Angeles,Womens Apparel,65,625,406250,81250,0.2,Outlet
Kohls,West,California,Los Angeles,Mens Street Footwear,45,900,405000,162000,0.4,Outlet
Kohls,West,California,Los Angeles,Mens Athletic Footwear,50,750,375000,93750,0.25,Outlet
Kohls,West,California,Los Angeles,Womens Street Footwear,50,750,375000,150000,0.4,Outlet
Kohls,West,California,Los Angeles,Womens Athletic Footwear,45,625,281250,98438,0.35,Outlet
Kohls,West,California,Los Angeles,Mens Apparel,50,500,250000,137500,0.55,Outlet
Kohls,West,California,Los Angeles,Womens Apparel,65,800,520000,104000,0.2,Outlet
Kohls,West,California,Los Angeles,Mens Street Footwear,45,950,427500,171000,0.4,Outlet
Kohls,West,California,Los Angeles,Mens Athletic Footwear,50,800,400000,100000,0.25,Outlet
Kohls,West,California,Los Angeles,Womens Street Footwear,50,750,375000,150000,0.4,Outlet
Kohls,West,California,Los Angeles,Womens Athletic Footwear,45,650,292500,102375,0.35,Outlet
Kohls,West,California,Los Angeles,Mens Apparel,50,700,350000,192500,0.55,Outlet
Kohls,West,California,Los Angeles,Womens Apparel,65,700,455000,91000,0.2,Outlet
Kohls,West,California,Los Angeles,Mens Street Footwear,50,900,450000,180000,0.4,Outlet
Kohls,West,California,Los Angeles,Mens Athletic Footwear,55,850,467500,116875,0.25,Outlet
Kohls,West,California,Los Angeles,Womens Street Footwear,50,725,362500,145000,0.4,Outlet
Kohls,West,California,Los Angeles,Womens Athletic Footwear,50,675,337500,118125,0.35,Outlet
Kohls,West,California,Los Angeles,Mens Apparel,60,675,405000,222750,0.55,Outlet
Kohls,West,California,Los Angeles,Womens Apparel,65,650,422500,84500,0.2,Outlet
Kohls,West,California,Los Angeles,Mens Street Footwear,50,850,425000,170000,0.4,Outlet
Kohls,West,California,Los Angeles,Mens Athletic Footwear,55,850,467500,116875,0.25,Outlet
Kohls,West,California,Los Angeles,Womens Street Footwear,50,700,350000,140000,0.4,Outlet
Kohls,West,California,Los Angeles,Womens Athletic Footwear,50,650,325000,113750,0.35,Outlet
Kohls,West,California,Los Angeles,Mens Apparel,60,650,390000,214500,0.55,Outlet
Kohls,West,California,Los Angeles,Womens Apparel,65,700,455000,91000,0.2,Outlet
Kohls,West,California,Los Angeles,Mens Street Footwear,50,800,400000,160000,0.4,Outlet
Kohls,West,California,Los Angeles,Mens Athletic Footwear,55,800,440000,110000,0.25,Outlet
Kohls,West,California,Los Angeles,Womens Street Footwear,50,650,325000,130000,0.4,Outlet
Kohls,West,California,Los Angeles,Womens Athletic Footwear,50,625,312500,109375,0.35,Outlet
Kohls,West,California,Los Angeles,Mens Apparel,60,600,360000,198000,0.55,Outlet
Kohls,West,California,Los Angeles,Womens Apparel,65,650,422500,84500,0.2,Outlet
Kohls,West,California,Los Angeles,Mens Street Footwear,50,825,412500,165000,0.4,Outlet
Kohls,West,California,Los Angeles,Mens Athletic Footwear,55,825,453750,113438,0.25,Outlet
Kohls,West,California,Los Angeles,Womens Street Footwear,50,675,337500,135000,0.4,Outlet
Kohls,West,California,Los Angeles,Womens Athletic Footwear,50,650,325000,113750,0.35,Outlet
Kohls,West,California,Los Angeles,Mens Apparel,60,600,360000,198000,0.55,Outlet
Kohls,West,California,Los Angeles,Womens Apparel,65,700,455000,91000,0.2,Outlet
Kohls,West,California,Los Angeles,Mens Street Footwear,50,900,450000,180000,0.4,Outlet
Kohls,West,California,Los Angeles,Mens Athletic Footwear,55,900,495000,123750,0.25,Outlet
Kohls,West,California,Los Angeles,Womens Street Footwear,50,700,350000,140000,0.4,Outlet
Kohls,West,California,Los Angeles,Womens Athletic Footwear,50,700,350000,122500,0.35,Outlet
Kohls,West,California,Los Angeles,Mens Apparel,60,625,375000,206250,0.55,Outlet
Kohls,West,California,Los Angeles,Womens Apparel,65,725,471250,94250,0.2,Outlet
Foot Locker,West,California,Los Angeles,Mens Street Footwear,45,475,213750,85500,0.4,Outlet
Foot Locker,West,California,Los Angeles,Mens Athletic Footwear,45,275,123750,43313,0.35,Outlet
Foot Locker,West,California,Los Angeles,Womens Street Footwear,35,275,96250,33688,0.35,Outlet
Foot Locker,West,California,Los Angeles,Womens Athletic Footwear,40,125,50000,20000,0.4,Outlet
Foot Locker,Midwest,Illinois,Chicago,Mens Apparel,55,175,96250,33688,0.35,Outlet
Foot Locker,Midwest,Illinois,Chicago,Womens Apparel,45,275,123750,61875,0.5,Outlet
Foot Locker,Midwest,Illinois,Chicago,Mens Street Footwear,45,525,236250,94500,0.4,Outlet
Foot Locker,Midwest,Illinois,Chicago,Mens Athletic Footwear,45,175,78750,27563,0.35,Outlet
Foot Locker,Midwest,Illinois,Chicago,Womens Street Footwear,35,225,78750,27563,0.35,Outlet
Foot Locker,Midwest,Illinois,Chicago,Womens Athletic Footwear,40,100,40000,16000,0.4,Outlet
Foot Locker,Midwest,Illinois,Chicago,Mens Apparel,55,175,96250,33688,0.35,Outlet
Foot Locker,Midwest,Illinois,Chicago,Womens Apparel,45,275,123750,61875,0.5,Outlet
Foot Locker,Midwest,Illinois,Chicago,Mens Street Footwear,50,495,247500,99000,0.4,Outlet
Foot Locker,Midwest,Illinois,Chicago,Mens Athletic Footwear,50,200,100000,35000,0.35,Outlet
Foot Locker,Midwest,Illinois,Chicago,Womens Street Footwear,40,225,90000,31500,0.35,Outlet
Foot Locker,Midwest,Illinois,Chicago,Womens Athletic Footwear,45,75,33750,13500,0.4,Outlet
Foot Locker,Midwest,Illinois,Chicago,Mens Apparel,60,125,75000,26250,0.35,Outlet
Foot Locker,Midwest,Illinois,Chicago,Womens Apparel,50,225,112500,56250,0.5,Outlet
Foot Locker,Midwest,Illinois,Chicago,Mens Street Footwear,50,450,225000,90000,0.4,Outlet
Foot Locker,Midwest,Illinois,Chicago,Mens Athletic Footwear,50,150,75000,26250,0.35,Outlet
Foot Locker,Midwest,Illinois,Chicago,Womens Street Footwear,40,150,60000,21000,0.35,Outlet
Foot Locker,Midwest,Illinois,Chicago,Womens Athletic Footwear,45,75,33750,13500,0.4,Outlet
Foot Locker,Midwest,Illinois,Chicago,Mens Apparel,60,100,60000,21000,0.35,Outlet
